DYNAMIXEL Graph,2
MX-12W,360
ItemCount,4
Realtime Tick,#000000,0,1,0
Present Speed,#ffff00,0,1,0
Goal Position,#ff0000,0,1,0
Present Position,#0055ff,0,1,0
Time[ms],Realtime Tick,Present Speed,Goal Position,Present Position
6724,27460,1043,4090,605
6750,27486,1043,4090,574
6760,27496,1044,4090,561
6772,27508,1044,4090,546
6788,27524,1044,4090,526
6810,27546,1045,4090,497
6820,27556,1046,4090,483
6840,27576,1044,4090,460
6852,27588,1042,4090,446
6870,27606,1043,4090,424
6885,27621,1043,4090,406
6900,27636,1044,4090,386
6920,27656,1045,4090,359
6932,27668,1045,4090,343
6950,27686,1044,4090,321
6964,27700,1043,4090,306
6990,27726,1043,4090,275
7000,27736,1043,4090,263
7013,27749,1044,4090,246
7030,27766,1046,4090,223
7044,27780,1046,4090,204
7070,27806,1043,4090,173
7080,27816,1043,4090,161
7092,27828,1042,4090,148
7108,27844,1043,4090,128
7130,27866,1044,4090,100
7140,27876,1044,4090,89
7159,27895,1045,4090,64
7172,27908,1046,4090,46
7189,27925,1043,4090,27
7204,27940,1043,4090,8
7220,27956,1042,4090,4086
7240,27976,1043,4090,4059
7252,27988,1044,4090,4043
7270,28006,1044,4090,4020
7284,28020,1044,4090,4002
7300,28036,1043,4090,3984
7320,28056,1043,4090,3961
7332,28068,1044,4090,3945
7348,28084,1044,4090,3925
7370,28106,1044,4090,3897
7380,28116,1045,4090,3883
7400,28136,1043,4090,3860
7413,28149,1042,4090,3846
7430,28166,1043,4090,3825
7444,28180,1044,4090,3807
7470,28206,1044,4090,3774
7480,28216,1045,4090,3760
7492,28228,1045,4090,3744
7510,28246,1044,4090,3724
7524,28260,1043,4090,3706
7550,28286,1043,4090,3675
7559,28295,1043,4090,3663
7572,28308,1043,4090,3647
7590,28326,1044,4090,3624
7604,28340,1044,4090,3607
7620,28356,1045,4090,3586
7636,28372,1043,4090,3569
7660,28396,1043,4090,3539
7671,28407,1043,4090,3526
7684,28420,1043,4090,3510
7710,28446,1044,4090,3477
7720,28456,1044,4090,3463
7732,28468,1045,4090,3447
7748,28484,1044,4090,3428
7770,28506,1042,4090,3403
7780,28516,1043,4090,3390
7800,28536,1043,4090,3366
7812,28548,1043,4090,3351
7830,28566,1044,4090,3328
7844,28580,1045,4090,3309
7861,28597,1044,4090,3289
7876,28612,1042,4090,3272
7892,28628,1042,4090,3253
7910,28646,1043,4090,3230
7924,28660,1044,4090,3212
7950,28686,1046,4090,3174
7960,28696,1045,4090,3162
7972,28708,1044,4090,3148
7990,28726,1043,4090,3125
8004,28740,1043,4090,3109
8030,28766,1043,4090,3077
8040,28776,1044,4090,3064
8052,28788,1044,4090,3049
8068,28804,1046,4090,3026
8090,28826,1045,4090,2997
8100,28836,1043,4090,2986
8120,28856,1042,4090,2964
8132,28868,1042,4090,2949
8150,28886,1044,4090,2925
8164,28900,1045,4090,2906
8190,28926,1045,4090,2871
8200,28936,1045,4090,2858
8213,28949,1042,4090,2845
8228,28964,1042,4090,2826
8250,28986,1043,4090,2798
8260,28996,1044,4090,2785
8280,29016,1044,4090,2758
8292,29028,1045,4090,2742
8310,29046,1044,4090,2720
8325,29061,1042,4090,2704
8340,29076,1043,4090,2685
8360,29096,1044,4090,2660
8372,29108,1044,4090,2644
8390,29126,1044,4090,2622
8404,29140,1045,4090,2602
8430,29166,1043,4090,2573
8440,29176,1042,4090,2561
8453,29189,1042,4090,2545
8470,29206,1044,4090,2522
8485,29221,1045,4090,2503
8500,29236,1044,4090,2484
8520,29256,1045,4090,2456
8533,29269,1044,4090,2442
8548,29284,1043,4090,2423
8570,29306,1043,4090,2396
8580,29316,1044,4090,2383
8596,29332,1044,4090,2362
8620,29356,1045,4090,2331
8629,29365,1044,4090,2320
8644,29380,1044,4090,2301
8660,29396,1043,4090,2282
8680,29416,1044,4090,2257
8692,29428,1044,4090,2242
8710,29446,1044,4090,2219
8724,29460,1044,4090,2202
8750,29486,1045,4090,2167
8760,29496,1044,4090,2155
8772,29508,1043,4090,2141
8790,29526,1043,4090,2119
8804,29540,1044,4090,2101
8830,29566,1044,4090,2069
8840,29576,1044,4090,2056
8852,29588,1045,4090,2039
8870,29606,1044,4090,2018
8884,29620,1043,4090,2001
8910,29646,1044,4090,1969
8919,29655,1043,4090,1959
8932,29668,1043,4090,1943
8950,29686,1044,4090,1920
8964,29700,1044,4090,1902
8980,29716,1045,4090,1881
9000,29736,1043,4090,1860
9012,29748,1042,4090,1845
9030,29766,1043,4090,1823
9044,29780,1043,4090,1806
9060,29796,1044,4090,1785
9080,29816,1045,4090,1758
9092,29828,1045,4090,1743
9110,29846,1043,4090,1722
9124,29860,1043,4090,1704
9150,29886,1043,4090,1673
9160,29896,1043,4090,1660
9172,29908,1044,4090,1645
9190,29926,1045,4090,1621
9204,29940,1045,4090,1603
9230,29966,1043,4090,1572
9240,29976,1042,4090,1561
9253,29989,1042,4090,1546
9270,30006,1044,4090,1524
9284,30020,1044,4090,1506
9300,30036,1046,4090,1483
9320,30056,1045,4090,1459
9332,30068,1044,4090,1444
9350,30086,1042,4090,1424
9364,30100,1042,4090,1408
9380,30116,1043,4090,1386
9396,30132,1044,4090,1365
9420,30156,1045,4090,1335
9430,30166,1045,4090,1321
9444,30180,1043,4090,1305
9470,30206,1043,4090,1274
9480,30216,1044,4090,1261
9492,30228,1044,4090,1246
9510,30246,1044,4090,1223
9524,30260,1045,4090,1204
9550,30286,1043,4090,1173
9560,30296,1042,4090,1162
9572,30308,1042,4090,1148
9590,30326,1043,4090,1126
9604,30340,1044,4090,1107
9630,30366,1046,4090,1071
9640,30376,1046,4090,1058
9652,30388,1045,4090,1044
9670,30406,1043,4090,1022
9684,30420,1043,4090,1006
9710,30446,1044,4090,974
9720,30456,1044,4090,959
9732,30468,1045,4090,943
9750,30486,1045,4090,919
9764,30500,1044,4090,902
9790,30526,1043,4090,871
9800,30536,1043,4090,859
9812,30548,1043,4090,844
9830,30566,1043,4090,822
9844,30580,1044,4090,804
9870,30606,1044,4090,770
9880,30616,1045,4090,758
9892,30628,1043,4090,744
9910,30646,1043,4090,722
9924,30660,1043,4090,705
9940,30676,1043,4090,684
9960,30696,1044,4090,658
